Title,Author,Date Read,ASIN,Rating
"The Story of a New Name (The Neapolitan Novels, #2)",Elena Ferrante,2018-12-31,"","+2"
Not All Dead White Men: Classics and Misogyny in the Digital Age,Donna Zuckerberg,2018-12-23,"",""
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,2014-10-03,ASIN,""
The Pleasures of Reading in an Age of Distraction,Alan Jacobs,2018-12-15,"",""
Making Silence Speak: Women's Voices in Greek Literature and Society,André Lardinois,2018-12-14,"",""
Plato's Symposium: Greek Text with Facing Vocabulary and Commentary,Geoffrey Steadman,2018-12-08,"",""
Symposium,Plato,2018-12-08,"",""
Eros at the Banquet: Reviewing Greek with Plato's Symposium,Louise Pratt,2018-12-08,"",""
Anti-Education: On the Future of Our Educational Institutions,Friedrich Nietzsche,2018-12-06,"",""
History Of Classical Scholarship,Ulrich von Wilamowitz-Moellendorff,2018-11-24,"",""
Word by Word: The Secret Life of Dictionaries,Kory Stamper,2018-11-20,"",""
A Month in the Country,J.L. Carr,2018-11-13,ASIN,""
The Misadventures of Awkward Black Girl,Issa Rae,2018-11-10,"",""
Messy: The Power of Disorder to Transform Our Lives,Tim Harford,2018-11-04,"",""
Constitutional Cliffhangers: A Legal Guide for Presidents and Their Enemies,Brian C. Kalt,2018-10-29,"","+3"
White Fragility: Why It’s So Hard for White People to Talk About Racism,Robin DiAngelo,2018-10-23,ASIN,""
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,2018-10-22,"",""
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,2018-10-15,"",""
"The Learned Banqueters, IV: Books 8-10.420e",Athenaeus of Naucratis,2018-10-10,"",""
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,2018-10-08,"",""
Lightning Rods,Helen DeWitt,2018-10-08,"",""
Some Trick: Thirteen Stories,Helen DeWitt,2018-09-23,ASIN,"+1"
O Kataskopos,Jacob Gerber,2018-09-22,"",""
The Last Samurai,Helen DeWitt,2018-09-16,ASIN,"+3"
"Ancient Greek Dialects and Early Authors: Introduction to the Dialect Mixture in Homer, with Notes on Lyric and Herodotus",D. Gary Miller,2018-09-04,"",""
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,2018-08-20,"",""
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,2018-07-23,"",""
Ancient Obscenities: Their Nature and Use in the Ancient Greek and Roman Worlds,Dorota Dutsch,2018-06-28,"",""
Awkwardness,Adam Kotsko,2018-06-25,"",""
The Tabula of Cebes,John T. Fitzgerald,2018-06-18,"",""
"Athenaze, Book II: An Introduction to Ancient Greek",Maurice Balme,2018-04-26,"",""
5/3/1: The Simplest and Most Effective Training System for Raw Strength,Jim Wendler,2018-06-13,ASIN,""
Beyond 5/3/1: Simple Training for Extraordinary Results,Jim Wendler,2018-06-13,ASIN,""
"The Learned Banqueters, III: Books 6-7",Athenaeus of Naucratis,2018-06-10,"",""
Classics: Why It Matters,Neville Morley,2018-06-09,"",""
"The Learned Banqueters, II: Books 3.106e-5",Athenaeus of Naucratis,2018-05-28,"",""
World Philology,Sheldon Pollock,2018-03-17,"",""
Philology: The Forgotten Origins of the Modern Humanities,James Turner,2018-02-13,"",""
Don Quixote,Miguel de Cervantes Saavedra,2018-02-01,ASIN,""
Life in Code: A Personal History of Technology,Ellen Ullman,2017-12-24,ASIN,"+1"
The Short Fiction of Flann O'Brien,Flann O'Brien,2017-10-01,"",""
Golden Hill,Francis Spufford,2017-09-26,"",""
"The Coming of the Third Reich (The History of the Third Reich, #1)",Richard J. Evans,2017-06-29,"",""
"Binti (Binti, #1)",Nnedi Okorafor,2017-06-21,"",""
The Sellout,Paul Beatty,2017-05-27,"","+2"
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,2017-05-14,ASIN,""
Silence,Shūsaku Endō,2017-04-01,"",""
"The Mask of Dimitrios (Charles Latimer, #1)",Eric Ambler,2017-03-31,"",""
Station Eleven,Emily St. John Mandel,2017-03-14,"",""
The Intervals of Cinema,Jacques Rancière,2017-03-04,"",""
Kindred,Octavia E. Butler,2017-02-20,ASIN,""
Between the World and Me,Ta-Nehisi Coates,2017-02-04,"",""
Stories of Your Life and Others,Ted Chiang,2017-01-31,"",""
HHhH,Laurent Binet,2017-01-14,ASIN,"+1"
24/7: Late Capitalism and the Ends of Sleep,Jonathan Crary,2017-01-02,"","+1"
The Nonexistent Knight,Italo Calvino,2016-12-27,ASIN,""
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,2016-12-20,"","+1"
Citizen: An American Lyric,Claudia Rankine,2016-12-04,"",""
Ananios of Kleitor,George D. Economou,2016-11-26,"",""
Myles Away From Dublin,Flann O'Brien,2016-11-05,"",""
Everything and Nothing,Jorge Luis Borges,2016-10-09,ASIN,""
Ghost Stories of an Antiquary,M.R. James,2016-09-05,ASIN,""
Memories of the Future,Sigizmund Krzhizhanovsky,2016-09-05,"",""
Yet Again,Max Beerbohm,2016-08-30,"",""
The Six Fingers of Time,R.A. Lafferty,2016-08-20,ASIN,""
The Goldfinch,Donna Tartt,2016-07-31,"","-3"
Myles Before Myles,Flann O'Brien,2016-08-01,"",""
Fakes and Forgers of Classical Literature: Ergo Decipiatur!,Javier Martínez,2016-05-17,"",""
A Sentimental Journey and Other Writings,Laurence Sterne,2016-05-09,"",""
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,2016-04-17,"","+1"
Spelunky (Boss Fight Books Book 11),Derek Yu,2016-04-09,ASIN,""
To Walk the Night,William  Sloane,2016-03-26,"",""
The Drinker,Hans Fallada,2016-01-26,ASIN,""
The Aspern Papers,Henry James,2016-03-12,ASIN,""
The Cloven Viscount,Italo Calvino,2016-03-06,ASIN,""
The British Museum is Falling Down,David Lodge,2016-02-13,"",""
The Diary of a Nobody,George Grossmith,2016-01-23,ASIN,""
The Black Box Society: The Secret Algorithms That Control Money and Information,Frank Pasquale,2016-01-19,"",""
The Greek Classics,Aldus Manutius,2016-01-02,"",""
The Engagement ,Georges Simenon,2015-12-09,"",""
Dirty Snow,Georges Simenon,2015-11-30,ASIN,""
My Brilliant Friend,Elena Ferrante,2015-11-08,ASIN,""
The Peripheral (The Peripheral #1),William Gibson,2015-10-15,"",""
"Classical Dictionaries: Past, Present and Future",Christopher Stray,2015-10-13,"",""
Bring Up the Bodies,Hilary Mantel,2015-09-27,ASIN,""
The Martian,Andy Weir,2015-09-11,ASIN,""
Auto-da-Fé,Elias Canetti,2015-09-10,"",""
Dr. Woodward's Shield,Joseph M. Levine,2015-07-19,"",""
A Scanner Darkly,Philip K. Dick,2015-07-14,"",""
Lucky Jim,Kingsley Amis,2015-07-06,"",""
Stoner,John  Williams,2015-06-16,"","-3"
The Works Of Max Beerbohm,Max Beerbohm,2015-05-10,"",""
Lure of the Arcane: the Literature of Cult and Conspiracy,Theodore Ziolkowski,2015-05-03,ASIN,""
Wolf Hall,Hilary Mantel,2015-03-28,ASIN,""
The Iraqi Christ,Hassan Blasim,2015-03-03,"",""
"Defenders of the Text: The Traditions of Scholarship in an Age of Science, 1450-1800",Anthony Grafton,2015-02-03,"",""
The Quest for Corvo: An Experiment in Biography,A.J.A. Symons,2015-01-03,ASIN,""
Book of Ages: The Life and Opinions of Jane Franklin,Jill Lepore,2014-11-28,ASIN,""
Store of the Worlds: The Stories of Robert Sheckley,Robert Sheckley,2014-06-20,ASIN,""
"Cheese, Pears, & History in a Proverb",Massimo Montanari,2014-05-22,"",""
The Letter Killers Club,Sigizmund Krzhizhanovsky,2014-02-24,"",""
"The Myth of Print Culture: Essays on Evidence, Textuality, and Bibliographical Method",Joseph A. Dane,2014-02-20,"",""
Cloud Atlas,David Mitchell,2014-02-17,"",""
The Invention of Morel,Adolfo Bioy Casares,2013-05-05,"",""
The Sense of an Ending,Julian Barnes,2013-05-05,"",""
"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,2013-05-05,"",""
My Name Is Red,Orhan Pamuk,2011-05-26,"",""
Swann's Way,Marcel Proust,2011-01-09,"",""
The Tartar Steppe,Dino Buzzati,2010-11-23,"","+3"
Bike Snob: Systematically & Mercilessly Realigning the World of Cycling,BikeSnobNYC,2010-10-19,"",""
The White Castle,Orhan Pamuk,2010-10-06,"",""
The Best of Myles,Myles na gCopaleen,2010-09-20,"",""
Jakob von Gunten,Robert Walser,2010-09-18,"",""
Bartleby & Co.,Enrique Vila-Matas,2010-09-16,"",""
The Late Mattia Pascal,Luigi Pirandello,2010-09-01,"",""
Madame Bovary,Gustave Flaubert,2010-08-12,"",""
